Target,TeamID1,TeamID2,Season,DayNum,min_MOR_1,min_SAG_1,min_WLK_1,max_MOR_1,max_SAG_1,max_WLK_1,mean_MOR_1,mean_SAG_1,mean_WLK_1,first_MOR_1,first_SAG_1,first_WLK_1,last_MOR_1,last_SAG_1,last_WLK_1,min_MOR_2,min_SAG_2,min_WLK_2,max_MOR_2,max_SAG_2,max_WLK_2,mean_MOR_2,mean_SAG_2,mean_WLK_2,first_MOR_2,first_SAG_2,first_WLK_2,last_MOR_2,last_SAG_2,last_WLK_2,Wins_1,Losses_1,Matches_1,Points_1,Avg_points_per_game_1,Wins_2,Losses_2,Matches_2,Points_2,Avg_points_per_game_2,together_matches_played,together_number_of_wins,together_winning_percentage,Seed_number_1,Seed_number_2,Avg_points_difference,Avg_points_ratio,Wins_difference,Wins_percentage_ratio,Seeds_difference,Seeds_ratio
1,1116,1234,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,12.0,33.0,2156.0,65.33333333333333,20,10.0,30.0,2092.0,69.73333333333333,1.0,0.0,0.0,9,8,-4.400000000000006,0.9369024856596557,1.05,0.9545454545454546,1,1.125
1,1120,1345,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11.0,29.0,2040.0,70.34482758620689,17,8.0,25.0,1728.0,69.12,,,,11,6,1.2248275862068851,1.0177203065134097,1.0588235294117647,0.9127789046653144,5,1.8333333333333333
1,1207,1250,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2.0,27.0,2045.0,75.74074074074075,11,18.0,29.0,1907.0,65.75862068965517,,,,1,16,9.982120051085573,1.1517994134669542,2.272727272727273,2.441077441077441,-15,0.0625
1,1229,1425,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7.0,27.0,1933.0,71.5925925925926,19,9.0,28.0,1915.0,68.39285714285714,,,,9,8,3.1997354497354564,1.0467846436514845,1.0526315789473684,1.0916179337231968,1,1.125
1,1242,1325,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,7.0,30.0,2281.0,76.03333333333333,20,7.0,27.0,1824.0,67.55555555555556,,,,3,14,8.477777777777774,1.1254934210526315,1.15,1.035,-11,0.21428571428571427
1,1246,1449,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12.0,28.0,1837.0,65.60714285714286,22,9.0,31.0,2019.0,65.12903225806451,,,,12,5,0.47811059907834874,1.007340975022996,0.7272727272727273,0.8051948051948052,7,2.4
1,1256,1338,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2.0,28.0,2170.0,77.5,15,11.0,26.0,1826.0,70.23076923076923,,,,5,12,7.269230769230774,1.1035049288061336,1.7333333333333334,1.6095238095238096,-7,0.4166666666666667
0,1233,1260,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.0,29.0,2159.0,74.44827586206897,25,5.0,30.0,2575.0,85.83333333333333,,,,13,4,-11.38505747126436,0.8673585537328424,1.0,1.0344827586206897,9,3.25
0,1292,1314,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13.0,26.0,1748.0,67.23076923076923,23,8.0,31.0,2317.0,74.74193548387096,,,,15,2,-7.5111662531017345,0.8995053285083496,0.5652173913043478,0.6739130434782609,13,7.5
1,1323,1333,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,8.0,28.0,1956.0,69.85714285714286,21,8.0,29.0,1795.0,61.89655172413793,,,,7,10,7.960591133004932,1.1286112216474335,0.9523809523809523,0.9863945578231292,-3,0.7
0,1235,1326,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12.0,29.0,2086.0,71.93103448275862,19,9.0,28.0,2178.0,77.78571428571429,,,,13,4,-5.854679802955673,0.9247332256736644,0.8947368421052632,0.8638838475499092,9,3.25
0,1299,1328,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,8.0,24.0,1703.0,70.95833333333333,25,5.0,30.0,2695.0,89.83333333333333,,,,16,1,-18.875,0.7898886827458256,0.64,0.8,15,16.0
0,1330,1374,1985,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11.0,29.0,2126.0,73.3103448275862,22,8.0,30.0,2279.0,75.96666666666667,,,,12,5,-2.656321839080462,0.9650330604772208,0.8181818181818182,0.8463949843260188,7,2.4
